,date,price,city,year,month,day
0,2004-01-01,43000,seoul,2004,1,1
1,2004-01-02,43000,seoul,2004,1,2
2,2004-01-03,43000,seoul,2004,1,3
3,2004-01-04,43000,seoul,2004,1,4
4,2004-01-05,43000,seoul,2004,1,5
5,2004-01-06,43000,seoul,2004,1,6
6,2004-01-07,43000,seoul,2004,1,7
7,2004-01-08,43000,gwangju,2004,1,8
8,2004-01-09,43000,seoul,2004,1,9
9,2004-01-10,43000,seoul,2004,1,10
10,2004-01-11,43000,seoul,2004,1,11
11,2004-01-12,43000,seoul,2004,1,12
12,2004-01-13,43000,seoul,2004,1,13
13,2004-01-14,43000,seoul,2004,1,14
14,2004-01-15,43000,seoul,2004,1,15
15,2004-01-16,43000,seoul,2004,1,16
16,2004-01-17,43000,seoul,2004,1,17
17,2004-01-18,43000,seoul,2004,1,18
18,2004-01-19,43000,seoul,2004,1,19
19,2004-01-20,43000,seoul,2004,1,20
20,2004-01-21,43000,seoul,2004,1,21
21,2004-01-22,43000,seoul,2004,1,22
22,2004-01-23,43000,seoul,2004,1,23
23,2004-01-24,43000,seoul,2004,1,24
24,2004-01-25,43000,seoul,2004,1,25
25,2004-01-26,43000,seoul,2004,1,26
26,2004-01-27,43000,seoul,2004,1,27
27,2004-01-28,43000,seoul,2004,1,28
28,2004-01-29,43000,seoul,2004,1,29
29,2004-01-30,43000,seoul,2004,1,30
30,2004-01-31,43000,seoul,2004,1,31
31,2004-02-01,43000,seoul,2004,2,1
32,2004-02-02,43000,seoul,2004,2,2
33,2004-02-03,43000,seoul,2004,2,3
34,2004-02-04,44000,seoul,2004,2,4
35,2004-02-05,44000,seoul,2004,2,5
36,2004-02-06,44000,seoul,2004,2,6
37,2004-02-07,44000,seoul,2004,2,7
38,2004-02-08,44000,seoul,2004,2,8
39,2004-02-09,44000,seoul,2004,2,9
40,2004-02-10,44000,seoul,2004,2,10
41,2004-02-11,44000,seoul,2004,2,11
42,2004-02-12,44000,seoul,2004,2,12
43,2004-02-13,44000,seoul,2004,2,13
44,2004-02-14,44000,seoul,2004,2,14
